framework,trace_idx,n_steps,fm,present,step_idx,pct,is_global
AppWorld,0,96,1.3,0,,,0
AppWorld,0,96,1.4,0,,,0
AppWorld,0,96,1.5,0,,,0
AppWorld,0,96,2.1,0,,,0
AppWorld,0,96,2.2,0,,,0
AppWorld,0,96,2.3,0,,,0
AppWorld,0,96,2.4,0,,,0
AppWorld,0,96,2.5,0,,,0
AppWorld,0,96,2.6,1,17,18.0,0
AppWorld,0,96,3.1,0,,,0
AppWorld,0,96,3.2,0,,,0
AppWorld,0,96,3.3,0,,,0
AppWorld,1,73,1.1,1,,,1
AppWorld,1,73,1.2,0,,,0
AppWorld,1,73,1.3,1,2,3.0,0
AppWorld,1,73,1.4,0,,,0
AppWorld,1,73,1.5,0,,,0
AppWorld,1,73,2.1,0,,,0
AppWorld,1,73,2.2,0,,,0
AppWorld,1,73,2.3,0,,,0
AppWorld,1,73,2.4,0,,,0
AppWorld,1,73,2.5,0,,,0
AppWorld,1,73,2.6,1,14,19.0,0
AppWorld,1,73,3.1,0,,,0
AppWorld,1,73,3.2,1,65,90.0,0
AppWorld,1,73,3.3,0,,,0
HyperAgent,0,40,1.1,1,,,1
HyperAgent,0,40,1.2,0,,,0
HyperAgent,0,40,1.3,1,25,64.0,0
HyperAgent,0,40,1.4,0,,,0
HyperAgent,0,40,1.5,0,,,0
HyperAgent,0,40,2.1,0,,,0
HyperAgent,0,40,2.2,1,24,62.0,0
HyperAgent,0,40,2.3,0,,,0
HyperAgent,0,40,2.4,1,24,62.0,0
HyperAgent,0,40,2.5,1,26,67.0,0
HyperAgent,0,40,2.6,1,24,62.0,0
HyperAgent,0,40,3.1,0,,,0
HyperAgent,0,40,3.2,1,39,100.0,0
HyperAgent,0,40,3.3,0,,,0
HyperAgent,1,40,1.1,0,,,0
HyperAgent,1,40,1.2,1,15,38.0,0
HyperAgent,1,40,1.3,1,27,69.0,0
HyperAgent,1,40,1.4,0,,,0
HyperAgent,1,40,1.5,0,,,0
HyperAgent,1,40,2.1,0,,,0
HyperAgent,1,40,2.2,0,,,0
HyperAgent,1,40,2.3,0,,,0
HyperAgent,1,40,2.4,0,,,0
HyperAgent,1,40,2.5,0,,,0
HyperAgent,1,40,2.6,1,24,62.0,0
HyperAgent,1,40,3.1,0,,,0
HyperAgent,1,40,3.2,1,33,85.0,0
HyperAgent,1,40,3.3,1,34,87.0,0
MetaGPT,0,6,1.1,0,,,0
MetaGPT,0,6,1.2,0,,,0
MetaGPT,0,6,1.3,0,,,0
MetaGPT,0,6,1.4,0,,,0
MetaGPT,0,6,1.5,0,,,0
MetaGPT,0,6,2.1,0,,,0
MetaGPT,0,6,2.2,0,,,0
MetaGPT,0,6,2.3,0,,,0
MetaGPT,0,6,2.4,0,,,0
MetaGPT,0,6,2.5,0,,,0
MetaGPT,0,6,2.6,0,,,0
MetaGPT,0,6,3.1,1,,,1
MetaGPT,0,6,3.2,1,2,40.0,0
MetaGPT,0,6,3.3,0,,,0
MetaGPT,1,6,1.1,1,,,1
MetaGPT,1,6,1.2,0,,,0
MetaGPT,1,6,1.3,0,,,0
MetaGPT,1,6,1.4,0,,,0
MetaGPT,1,6,1.5,0,,,0
MetaGPT,1,6,2.1,0,,,0
MetaGPT,1,6,2.2,0,,,0
MetaGPT,1,6,2.3,0,,,0
MetaGPT,1,6,2.4,0,,,0
MetaGPT,1,6,2.5,1,4,80.0,0
MetaGPT,1,6,2.6,0,,,0
MetaGPT,1,6,3.1,0,,,0
MetaGPT,1,6,3.2,1,2,40.0,0
MetaGPT,1,6,3.3,0,,,0
MagenticOne,0,13,1.1,1,,,1
MagenticOne,0,13,1.2,0,,,0
MagenticOne,0,13,1.3,0,,,0
MagenticOne,0,13,1.4,0,,,0
MagenticOne,0,13,1.5,0,,,0
MagenticOne,0,13,2.1,0,,,0
MagenticOne,0,13,2.2,0,,,0
MagenticOne,0,13,2.3,0,,,0
MagenticOne,0,13,2.4,0,,,0
MagenticOne,0,13,2.5,0,,,0
MagenticOne,0,13,2.6,0,,,0
MagenticOne,0,13,3.1,0,,,0
MagenticOne,0,13,3.2,1,11,92.0,0
MagenticOne,0,13,3.3,0,,,0
MagenticOne,1,17,1.1,1,,,1
MagenticOne,1,17,1.2,0,,,0
MagenticOne,1,17,1.3,0,,,0
MagenticOne,1,17,1.4,0,,,0
MagenticOne,1,17,1.5,1,,,1
MagenticOne,1,17,2.1,0,,,0
MagenticOne,1,17,2.2,1,16,100.0,0
MagenticOne,1,17,2.3,0,,,0
MagenticOne,1,17,2.4,0,,,0
MagenticOne,1,17,2.5,0,,,0
MagenticOne,1,17,2.6,1,16,100.0,0
MagenticOne,1,17,3.1,1,,,1
MagenticOne,1,17,3.2,1,16,100.0,0
MagenticOne,1,17,3.3,0,,,0
OpenManus,0,83,1.1,1,,,1
OpenManus,0,83,1.2,0,,,0
OpenManus,0,83,1.3,1,63,77.0,0
OpenManus,0,83,1.4,0,,,0
OpenManus,0,83,1.5,1,,,1
OpenManus,0,83,2.1,0,,,0
OpenManus,0,83,2.2,1,39,48.0,0
OpenManus,0,83,2.3,0,,,0
OpenManus,0,83,2.4,0,,,0
OpenManus,0,83,2.5,0,,,0
OpenManus,0,83,2.6,1,10,12.0,0
OpenManus,0,83,3.1,0,,,0
OpenManus,0,83,3.2,1,54,66.0,0
OpenManus,0,83,3.3,0,,,0
OpenManus,1,75,1.1,0,,,0
OpenManus,1,75,1.2,0,,,0
OpenManus,1,75,1.3,1,53,72.0,0
OpenManus,1,75,1.4,0,,,0
OpenManus,1,75,1.5,0,,,0
OpenManus,1,75,2.1,0,,,0
OpenManus,1,75,2.2,0,,,0
OpenManus,1,75,2.3,0,,,0
OpenManus,1,75,2.4,0,,,0
OpenManus,1,75,2.5,0,,,0
OpenManus,1,75,2.6,0,,,0
OpenManus,1,75,3.1,0,,,0
OpenManus,1,75,3.2,1,62,84.0,0
OpenManus,1,75,3.3,0,,,0
