framework,fm,fm_name,feasibility,reasoning,trace_idx,n_steps,skipped
ChatDev,2.6,Action-Reasoning Mismatch,Reliable,"ChatDev's logs clearly delineate agent turns, explicit reasoning within those turns, and specific outputs or decisions. An auditor can directly compare an agent's stated logical conclusion or internal decision-making (often verbose) with its subsequent action or output (often concise or an instruction), pinpointing the exact step where the discrepancy arises.",0.0,69.0,False
AG2,2.6,Action-Reasoning Mismatch,Reliable,"The AG2 logs provide clear step delimiters and rich per-step content, often containing both natural language reasoning and explicit actions (code, final answers) from the same agent. This structure allows an auditor to directly compare an agent's stated logic or internal decision-making with its immediate output within a single step, making step-level localization of an action-reasoning mismatch highly reliable.",4.0,4.0,False
AppWorld,2.6,Action-Reasoning Mismatch,Reliable,The AppWorld logging schema explicitly captures agent reasoning via '# comments' immediately preceding their actions. This direct juxtaposition of thought and execution within clearly delineated steps allows an auditor to precisely identify the step where a discrepancy between an agent's stated reasoning and its subsequent action occurs.,0.0,96.0,False
HyperAgent,2.6,Action-Reasoning Mismatch,Reliable,"The HyperAgent log structure explicitly separates an agent's internal 'Thought' from its subsequent 'Action' and the resulting 'Observation'. This clear delineation allows an auditor to directly compare the agent's reasoning with its executed actions or outputs, making it straightforward to pinpoint the exact step where a discrepancy occurs.",0.0,40.0,False
MetaGPT,2.6,Action-Reasoning Mismatch,Reliable,"The MetaGPT log structure clearly delineates each agent's action and output in sequential steps, often including explicit reasoning (e.g., reviewer comments) or code (actions). This allows an auditor to directly compare an agent's action in a given step against the preceding reasoning or expected outcome, reliably pinpointing the exact step where a discrepancy occurs.",3.0,6.0,False
MagenticOne,2.6,Action-Reasoning Mismatch,Reliable,"The log structure clearly delineates agent roles, explicit step boundaries, and distinct statements of reasoning (e.g., orchestrator instructions, assistant suggestions) and actions (e.g., websurfer actions). This allows an auditor to directly compare an agent's stated intent or an instruction with the subsequent action, pinpointing the exact step where a discrepancy occurs.",1.0,17.0,False
OpenManus,2.6,Action-Reasoning Mismatch,Reliable,"The OpenManus log structure explicitly separates agent reasoning (`✨ Manus's thoughts:`) from the subsequent action (command) and its output, each clearly delineated by step numbers. This allows an auditor to directly compare the agent's stated intent with the executed command or its result, pinpointing any mismatch to the exact action or output step immediately following the reasoning.",0.0,83.0,False
ChatDev,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AG2,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AppWorld,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
HyperAgent,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MetaGPT,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MagenticOne,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
OpenManus,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
ChatDev,3.2,No / Incomplete Verification,Reliable,"The log structure clearly delineates steps, agent roles, and the specific prompts/configurations guiding each interaction. This allows an auditor to identify the exact step where a verification was expected (based on agent role or phase prompt) and then assess if it was omitted or incomplete in that agent's response or the subsequent system state.",1.0,68.0,False
AG2,3.2,No / Incomplete Verification,Reliable,"The failure mode, 'No / Incomplete Verification', is clearly localized to Step 3. In this step, the assistant accepts the result derived from an unverified assumption made in Step 1 as the final answer without any further checking or clarification. The step-by-step logging with clear agent roles and content makes this omission unambiguous.",0.0,4.0,False
AppWorld,3.2,No / Incomplete Verification,Reliable,"The log structure provides clear step delimiters, explicit agent roles, and rich internal monologues for each agent. This allows an auditor to trace the agent's decision-making process and identify the precise step where a necessary verification was omitted, performed inadequately, or where an unverified assumption was made, making step-level localization unambiguous.",1.0,73.0,False
HyperAgent,3.2,No / Incomplete Verification,Reliable,"The HyperAgent logs provide explicit 'Thought' sections for each agent, detailing their reasoning and planned actions. An omission or incomplete verification would be evident in these thoughts (e.g., lack of a verification plan) or in the absence of a corresponding verification action/observation, allowing precise localization to the step where the agent failed to initiate or complete the check.",0.0,40.0,False
MetaGPT,3.2,No / Incomplete Verification,Reliable,"The MetaGPT logs clearly delineate each step by agent and output. The 'No / Incomplete Verification' failure mode is directly identified by the SimpleReviewer agent in subsequent steps (e.g., Step 3 and Step 5), explicitly pointing out omissions in the verification efforts of the SimpleTester (e.g., Step 2 and Step 4). This explicit feedback loop allows an auditor to reliably pinpoint the exact steps where verification was incomplete.",0.0,6.0,False
MagenticOne,3.2,No / Incomplete Verification,Reliable,"The log structure clearly delineates orchestrator directives and agent actions. The failure mode, 'No / Incomplete Verification,' is evident at Step 10 where the orchestrator pivots to a new sub-task without explicitly verifying or concluding the previous search for the APOD and city identification, despite prior instructions to do so. This omission of verification is a distinct event tied to the orchestrator's decision in that specific step.",0.0,13.0,False
OpenManus,3.2,No / Incomplete Verification,Reliable,"The OpenManus framework provides explicit 'Manus's thoughts' steps, which capture the agent's internal reasoning, intentions, and interpretations of previous actions and their outputs. This allows an auditor to directly observe when verification is intended, performed, or omitted, and to compare Manus's conclusions against the actual tool outputs, reliably pinpointing the exact step where a verification failure (omission or misinterpretation) occurs.",0.0,83.0,False
ChatDev,3.3,Incorrect Verification,Reliable,"The log structure clearly delineates individual agent turns and system updates, each marked with a step number and the acting agent. Crucial decisions or agreements, which are central to 'Incorrect Verification,' are explicitly recorded within specific steps, often with explicit confirmations or outputs like '<INFO>'. This allows an auditor to pinpoint the exact step where a decision was made or information was accepted without adequate validation.",0.0,69.0,False
AG2,3.3,Incorrect Verification,Reliable,"The agent's 'Key Idea' in Step 1 explicitly outlines the flawed logic regarding the calculation of 'jog_steps' based on 'remaining_steps'. This clear articulation of the incorrect decision-making process allows an auditor to precisely identify Step 1 as where the failure to adequately verify crucial information occurred, even though the code implementation happens later.",5.0,6.0,False
AppWorld,3.3,Incorrect Verification,Reliable,"The AppWorld logs provide detailed, step-by-step accounts of agent reasoning, actions, and system responses. This granularity allows an auditor to pinpoint the exact step where an agent failed to perform a necessary validation or cross-check, or where an incorrect verification decision was made, as agent intentions and subsequent actions are clearly logged.",29.0,167.0,False
HyperAgent,3.3,Incorrect Verification,Reliable,"The log structure provides explicit step numbers, clear agent roles, and detailed 'Thought' sections that reveal the agent's reasoning, conclusions, and decisions. This granularity allows an auditor to pinpoint the exact step where crucial information was either generated with inadequate validation or accepted without sufficient cross-checking, directly addressing the definition of 'Incorrect Verification'.",1.0,40.0,False
MetaGPT,3.3,Incorrect Verification,Reliable,"The MetaGPT logs provide clear step delimiters, explicit agent roles, and the full output of each agent's action. An auditor can unambiguously identify Step 2, where the SimpleTester introduced tests based on an incorrect verification assumption (expecting exceptions), which is a direct instance of 'failure to adequately validate or cross-check crucial information'. The subsequent review in Step 3 further confirms this specific incorrect verification, making its origin in Step 2 highly localized and clear.",2.0,6.0,False
MagenticOne,3.3,Incorrect Verification,Reliable,"The log structure clearly delineates agent actions and orchestrator instructions, along with detailed environmental context from the WebSurfer. This allows an auditor to precisely identify when an orchestrator fails to verify the outcome of a previous agent's action, as seen in the repeated instructions despite incorrect WebSurfer clicks, pinpointing the exact step where the verification failure occurs.",8.0,42.0,False
OpenManus,3.3,Incorrect Verification,Reliable,"The `✨ Manus's thoughts:` sections provide explicit insights into the agent's interpretation of gathered information, its current state, and its planned next steps, often including implicit or explicit verification points. An incorrect verification would manifest as a flawed interpretation or an inadequate decision to proceed without further checks within these detailed thought processes, allowing precise localization to the specific step where the misjudgment or insufficient action occurred.",7.0,52.0,False
